,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__solver,param_vectorizer__max_df,param_vectorizer__method,param_vectorizer__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,0.17658629417419433,0.033488416472375694,0.019441843032836914,0.004178221234085685,1,liblinear,0.1,tfidf,0.0004,"{'classifier__C': 1, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.743125,0.724375,0.73625,0.7540675844806007,0.7603254067584481,0.7436218109054528,0.012752065163533945,12
14,0.21223006248474122,0.042083333929831705,0.025059080123901366,0.01258080363345636,1,liblinear,0.1,count,0.0003,"{'classifier__C': 1, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.735,0.724375,0.7325,0.7453066332916145,0.7496871088861077,0.7373686843421711,0.009086728570926978,17
15,0.17985172271728517,0.01582026142147345,0.017421388626098634,0.0012901925007134751,1,liblinear,0.1,count,0.0004,"{'classifier__C': 1, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.728125,0.725625,0.7325,0.7471839799749687,0.746558197747184,0.7359929964982491,0.00914741979646967,23
16,0.30272727012634276,0.12120580120544235,0.02374238967895508,0.013697509377711423,3,newton-cg,0.07,tfidf,0.0003,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.73875,0.7325,0.740625,0.7571964956195244,0.7546933667083855,0.7447473736868434,0.009557981382182987,5
17,0.21990180015563965,0.01934915231002139,0.0166989803314209,0.0004241920846769573,3,newton-cg,0.07,tfidf,0.0004,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.73875,0.726875,0.736875,0.7565707133917396,0.7528160200250313,0.7423711855927964,0.010900299124166683,13
18,0.28530278205871584,0.05548577052343041,0.01883859634399414,0.0036031443907193956,3,newton-cg,0.07,count,0.0003,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.72375,0.72,0.736875,0.7390488110137672,0.7471839799749687,0.7333666833416709,0.010066138102315561,25
19,0.24698872566223146,0.02243134706279596,0.018936347961425782,0.003689295254239098,3,newton-cg,0.07,count,0.0004,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.723125,0.718125,0.725,0.7409261576971214,0.7434292866082604,0.7301150575287644,0.01012742322782236,31
20,0.2586638927459717,0.017232287947221227,0.024762725830078124,0.007363857257486175,3,newton-cg,0.1,tfidf,0.0003,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.74,0.731875,0.740625,0.7559449311639549,0.7515644555694618,0.7439969984992496,0.008651541117049645,9
21,0.3351945400238037,0.07846848953682654,0.022390031814575197,0.00437973651821824,3,newton-cg,0.1,tfidf,0.0004,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.739375,0.72375,0.735625,0.7553191489361702,0.7521902377972466,0.7412456228114057,0.01148014247369712,16
22,0.2616492748260498,0.00924823655585793,0.021887445449829103,0.003911411712226855,3,newton-cg,0.1,count,0.0003,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.723125,0.72,0.73375,0.7409261576971214,0.7446808510638298,0.7324912456228114,0.00964400651952923,27
23,0.36742496490478516,0.06594621380482822,0.021174860000610352,0.0029646455136180167,3,newton-cg,0.1,count,0.0004,"{'classifier__C': 3, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.7225,0.72125,0.725,0.7428035043804756,0.7434292866082604,0.7309904952476238,0.00996998665001504,29
24,0.2136197566986084,0.019722049182237265,0.023885679244995118,0.0039924347106995,3,liblinear,0.07,tfidf,0.0003,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.73875,0.7325,0.740625,0.7571964956195244,0.7546933667083855,0.7447473736868434,0.009557981382182987,5
25,0.25234599113464357,0.037829601791904505,0.033965110778808594,0.017129893625993858,3,liblinear,0.07,tfidf,0.0004,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.73875,0.726875,0.736875,0.7565707133917396,0.7528160200250313,0.7423711855927964,0.010900299124166683,13
26,0.2804245471954346,0.043261460670599744,0.025065898895263672,0.0051873491376502115,3,liblinear,0.07,count,0.0003,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.72375,0.72,0.736875,0.7390488110137672,0.7471839799749687,0.7333666833416709,0.010066138102315561,25
27,0.21551914215087892,0.038303391603329684,0.021193742752075195,0.00222543545160411,3,liblinear,0.07,count,0.0004,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.723125,0.718125,0.725,0.7409261576971214,0.7434292866082604,0.7301150575287644,0.01012742322782236,31
28,0.20716233253479005,0.03454397255728417,0.023074769973754884,0.005162900131027417,3,liblinear,0.1,tfidf,0.0003,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.74,0.731875,0.740625,0.7559449311639549,0.7515644555694618,0.7439969984992496,0.008651541117049645,9
29,0.23038735389709472,0.10914847528509543,0.02495875358581543,0.007019586695273415,3,liblinear,0.1,tfidf,0.0004,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.739375,0.724375,0.735625,0.7553191489361702,0.7521902377972466,0.7413706853426714,0.011290708609824847,15
30,0.2998659610748291,0.10972847843427029,0.022068357467651366,0.004708232713163782,3,liblinear,0.1,count,0.0003,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.723125,0.72,0.73375,0.7403003754693367,0.7446808510638298,0.7323661830915458,0.009537279492150314,28
31,0.20796127319335939,0.028442364700628442,0.018891000747680665,0.0034071618797186266,3,liblinear,0.1,count,0.0004,"{'classifier__C': 3, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.7225,0.72125,0.725,0.7428035043804756,0.7434292866082604,0.7309904952476238,0.00996998665001504,29
